year_aired,imdb,monster_real,title
2004,7.4,fake,Uncle Scooby and Antarctica
2004,7.2,fake,"New Mexico, Old Monster"
2004,5.1,real,Scooby-Doo 2: Monsters Unleashed
2004,7.4,fake,It's All Greek to Scooby
2004,6.7,fake,Scooby-Doo! and the Loch Ness Monster
2005,8,fake,Fright House of a Lighthouse
2005,7.2,fake,"Go West, Young Scoob"
2005,6.4,fake,"Aloha, Scooby-Doo!"
2005,7.5,fake,A Scooby-Doo Valentine
2005,7.4,fake,Wrestle Maniacs
2005,7.5,fake,Ready to Scare
2005,7.3,fake,Farmed & Dangerous
2005,7,fake,Diamonds Are a Ghoul's Best Friend
2005,7.6,fake,A Terrifying Round with a Menacing Metallic Clown
2005,7.5,fake,Camp Comeoniwannascareya
2005,7.4,fake,Block-Long Hong Kong Terror
2005,7.3,fake,"Gentlemen, Start Your Monsters!"
2005,7.4,fake,Gold Paw
2005,7.5,real,Reef Grief!
2005,6.7,fake,Scooby-Doo! in Where's my Mummy?
2006,7.4,fake,E-Scream
2006,6.7,fake,Scooby-Doo! Pirates Ahoy!
2006,6.1,real,Shags to Riches
2006,5,real,More Fondue for Scooby-Doo
2006,6,real,High Society Scooby
2006,5.9,real,Party Arty
2006,5.9,real,Smart House
2006,5.5,real,Lightning Strikes Twice
2007,5.8,real,Don't Feed the Animals
2007,6.9,real,Mysterty of the Missing Mystery Solvers
2007,5.1,real,Chefs of Steel
2007,6.1,real,Almost Ghosts
2007,6.1,real,Pole to Pole
2007,5.9,real,Big Trouble
2007,5.1,real,Operation Dog and Hippy Boy
2007,6.7,fake,"Chill Out, Scooby-Doo!"
2007,5.3,real,Shaggy and Scooby World
2007,5.2,real,Almost Purr-fect
2007,5.9,real,Inside Job
2007,5.5,real,Zoinksman
2007,5.4,real,The Many Faces of Evil
2007,5.6,real,Crusin' for a Brusin'
2007,5.5,real,There's a Doctor in the House
2008,5.4,real,Super Scary Movie Night
2008,4.8,real,Runaway Robi
2008,4.6,real,Don't Get a Big Head
2008,6.2,real,Scooby Dudes
2008,5.1,real,Zoinks the Wonder Dog
2008,5.8,real,Uncle Albert Alert
2008,6.4,real,Scooby-Doo! and the Goblin King
2009,6.5,fake,Scooby-Doo! and the Samurai Sword
2009,5.3,real,Scooby-Doo! The Mystery Begins
2010,7.1,fake,Scooby-Doo! Abracadabra-Doo
2010,7.9,fake,Beware the Beast From Below
2010,7.8,fake,The Creeping Creatures
2010,7.7,fake,The Secret of the Ghost Rig
2010,7.7,fake,Revenge of the Man Crab
2010,8,fake,The Song of Mystery
2010,8.5,fake,The Legend of Alice May
2010,8.2,fake,In Fear of the Phantom
2010,7.8,fake,The Grasp of the Gnome
2010,7.6,fake,Battle of the Humungonauts
2010,7.3,fake,Scooby-Doo! Camp Scare
2010,8.2,fake,Howl of the Fright Hound
2010,8.1,fake,The Secret Serum
2010,8.4,fake,The Shrieking Madness
2010,8,fake,When the Cicada Calls
2011,4.9,real,Scooby-Doo! Curse of the Lake Monster
2011,8.2,fake,Mystery Solvers Club State Finals
2011,7.7,fake,The Wild Brood
2011,8.2,fake,Where Walks Aphrodite
2011,8.8,real,Escape from Mystery Manor
2011,8.2,fake,The Dragon's Secret
2011,8.5,fake,Nightfright
2011,8.1,fake,The Siren's Song
2011,8.2,fake,Menace of the Manticore
2011,8.1,fake,Attack of the Headless Horror
2011,8.6,fake,A Haunting in Crystal Cove
2011,8.2,fake,Dead Justice
2011,8.8,fake,Pawn of Shadows
2011,9.2,fake,All Fear the Freak
2011,6.8,fake,Scooby-Doo! Legend of the Phantosaur
2012,6.5,fake,Scooby-Doo! Music of the Vampire
2012,6.9,fake,Scooby-Doo! Spooky Games
2012,8.5,fake,The Night the Clown Cried
2012,7.9,fake,The House of the Nightmare Witch
2012,8.4,fake,The Night the Clown Cried II - Tears of Doom
2012,8.2,fake,Web of the Dreamweaver!
2012,8.4,fake,The Hodag of Horror
2012,7.7,fake,Art of Darkness
2012,8.2,fake,The Gathering Gloom
2012,8.3,fake,Night on Haunted Mountain
2012,8.3,fake,Grrim Judgment
2012,9.1,fake,Night Terrors
2012,8.7,real,The Midnight Zone
2012,8.2,fake,Scarebear
2012,8.9,fake,Wrath of the Krampus
2012,7.6,fake,Heart of Evil
2012,8.6,fake,Theater of Doom
2012,6.9,fake,Big Top Scooby-Doo!
2012,7,fake,Scooby-Doo! Haunted Holidays
2013,6.8,fake,Scooby-Doo! Mask of the Blue Falcon
2013,8,fake,Aliens Among Us
2013,8.3,fake,The Horrible Herd
2013,8,fake,Dance of the Undead
2013,7.8,fake,The Devouring
2013,8.3,fake,Stand and Deliver
2013,8.9,fake,The Man in the Mirror
2013,8.9,fake,Nightmare in Red
2013,8.4,fake,Dark Night of Hunters
2013,8.7,fake,Gates of Gloom
2013,9,real,Through the Curtain
2013,9.3,real,Come Undone
2013,5.1,fake,Scooby-Doo Adventure: The Mystery Map!
2013,7.1,fake,Scooby-Doo! Stage Fright
2013,7.3,fake,Scooby-Doo! and the Spooky Scarecrow
2013,6.5,fake,Scooby-Doo! Mecha Mutt Menace
2014,6.3,fake,Scooby-Doo! Wrestlemania Mystery
2014,6.6,fake,Scooby-Doo! Ghastly Goals!
2014,6.7,fake,Scooby-Doo! Frankencreepy
2015,6.5,fake,Scooby-Doo! Moon Monster Madness
2015,7.1,fake,Scooby-Doo! and the Beach Beastie
2015,6.5,real,Scooby-Doo! KISS: Rock and Roll Mystery
2015,7.9,fake,Mystery 101
2015,7.2,fake,Game of Chicken
2015,7.4,fake,All Pawns on Deck
2015,7.3,fake,Poodle Justice
2015,7.3,fake,Grand Scam
2015,7.6,fake,Trading Chase
2015,7.5,fake,"Be Quiet, Scooby-Doo!"
2015,8.2,fake,Party Like It's 1899
2015,7.4,fake,Screama Donna
