id,adjusted,age,bmi,cohort1,cohort2,cohort3,cohort4,endurancecat,endurancespeed,female,footwear,group,injury,k5_d,k5_di,k5_ti,k5_ti_adj,k5_tr,k10_d,k10_di,k10_ti,k10_ti_adj,k10_tr,m5_d,m5_di,m5_ti,m5_ti_adj,m5_tr,m10_d,m10_di,m10_ti,m10_ti_adj,m10_tr,mh_d,mh_di,mh_ti,mh_ti_adj,mh_tr,mf_d,mf_di,mf_ti,mf_ti_adj,mf_tr,max,sprint,tempo,typical,model1_time,model2_time
143,1,44,25.96887398,,,,,1,2,1,2,3,1,5000,3,1692,1692,3,,,,,,,,,,,,,,,,21097.5,3,8344,8344,3,,,,,,20,0,0,10,,
144,1,35,26.03094482,,,,,2,4,0,2,1,2,5000,4,1707,1720.972656,2,,,,,,,,,,,,,,,,21097.5,3,7811,7811,2,,,,,,11,0,0,10,,
145,1,65,24.56541252,,,,,1,1,0,2,3,1,,,,,,10000,2,3787,3752.105713,2,,,,,,,,,,,21097.5,3,8526,8526,2,,,,,,19,0,0,13,,
146,1,44,25.20478821,1,1,1,1,1,2,0,2,2,1,,,,,,,,,,,,,,,,16090,2,4620,4487.194336,2,21097.5,4,6180,6362.328613,3,42195,4,13458,13636.32227,2,55,1,1,40,,
147,1,38,26.97877502,,,,,1,2,0,2,2,2,5000,3,1395,1395,2,,,,,,,,,,,,,,,,21097.5,3,6720,6720,2,,,,,,14,1,0,30,,
148,1,29,26.63352203,,,,,1,1,1,1,3,3,5000,4,1865,1881.691528,1,10000,4,3720,3831.264404,1,,,,,,,,,,,,,,,,,,,,,22,0,1,15,,
149,1,64,24.81470108,1,1,,,1,2,0,2,1,1,,,,,,,,,,,,,,,,,,,,,21097.5,4,6748,6965.975586,2,42195,3,14807,14807,2,60,1,1,45,,
150,1,55,25.11189079,1,1,1,1,2,3,0,2,1,1,5000,4,1319,1327.327148,2,,,,,,,,,,,,,,,,21097.5,3,6272,6272,1,42195,3,14188,14188,1,50,1,1,40,,
151,1,30,23.74768066,,,,,2,3,0,2,2,2,5000,4,954,958.3484497,1,,,,,,,,,,,,,,,,21097.5,2,4542,4509.383789,1,,,,,,90,1,1,70,,
152,1,32,21.23309135,,,,,2,3,1,2,1,1,5000,4,1383,1392.157593,3,10000,2,3026,3003.679199,3,,,,,,16090,4,5013,5234.486816,2,,,,,,,,,,,25,0,0,22,,
153,1,28,19.66026878,1,1,,,2,3,0,2,1,2,,,,,,,,,,,,,,,,,,,,,21097.5,3,4548,4548,2,42195,4,10080,10179.70801,2,70,0,1,60,,
154,1,36,22.60793114,1,1,1,1,2,3,0,1,2,1,5000,4,1031,1036.080688,1,,,,,,,,,,,,,,,,21097.5,3,4676,4676,1,42195,3,10040,10040,1,70,1,1,60,,
155,1,29,27.19741821,1,1,1,1,2,4,1,2,1,2,5000,4,1660,1673.210815,1,,,,,,,,,,,,,,,,21097.5,2,8007,7906.188477,2,42195,3,17341,17341,1,44,0,0,35,,
156,1,28,24.34137344,1,1,,,2,3,0,2,3,2,,,,,,,,,,,,,,,,,,,,,21097.5,4,6621,6830.720703,2,42195,3,13840,13840,1,35,1,1,25,254.3249359,
157,1,29,27.4961338,,,,,2,3,0,2,2,1,,,,,,,,,,,,,,,,16090,4,4512,4690.63916,3,21097.5,3,6204,6204,4,,,,,,30,0,0,25,,
158,1,36,22.8571434,1,,,,2,5,0,1,1,2,,,,,,10000,4,2199,2237.409912,1,,,,,,,,,,,21097.5,1,4831,,1,42195,4,10652,10763.40625,1,60,1,1,50,,
159,1,56,24.48979568,,,,,2,3,0,2,1,1,,,,,,10000,4,3096,3172.682861,2,,,,,,16090,2,4988,4833.54834,2,21097.5,1,6992,,2,,,,,,34,0,1,25,,
160,1,31,24.5955925,,,,,1,1,1,2,3,1,5000,2,1769,1701.028076,2,,,,,,,,,,,16090,3,6600,6600,1,21097.5,2,8700,8581.113281,1,,,,,,20,0,0,15,,
161,1,39,23.37423897,1,1,,,2,3,1,2,1,1,,,,,,,,,,,,,,,,,,,,,21097.5,3,6130,6130,1,42195,3,13148,13148,2,40,1,1,40,,
162,1,35,20.9276123,,,,,1,2,0,2,1,1,,,,,,,,,,,,,,,,16090,4,3456,3559.84375,2,21097.5,3,4667,4667,2,,,,,,46,1,0,42,,
163,1,31,25.5287571,,,,,2,3,0,1,2,1,,,,,,10000,3,2880,2880,2,,,,,,16090,3,4500,4500,2,,,,,,,,,,,25,0,0,20,,
164,1,27,20.20201874,1,1,1,1,2,3,1,2,2,2,,,,,,10000,3,2700,2700,1,,,,,,,,,,,21097.5,3,6360,6360,1,42195,2,14100,14029.37012,1,50,1,0,30,,
165,1,27,25.11189079,,,,,3,8,0,1,2,1,5000,4,1300,1308.088257,4,,,,,,,,,,,16090,2,5247,5076.366699,3,,,,,,,,,,,20,0,0,5,,
166,1,28,24.37873268,,,,,1,1,1,2,3,1,,,,,,10000,2,4320,4274.650879,4,,,,,,,,,,,21097.5,3,9900,9900,4,,,,,,12,0,0,30,,
167,1,31,22.80591202,1,1,1,1,2,3,1,1,2,2,5000,3,1440,1440,3,,,,,,,,,,,,,,,,21097.5,2,6360,6296.230957,2,42195,3,15060,15060,2,35,0,1,30,,
