state,region,date,cases.100k,deaths.100k
ME,Northeast,2021-02-15,13.729325085575383,0.13174129622896186
ME,Northeast,2021-02-16,12.694214900919254,0.14115138881674485
ME,Northeast,2021-02-17,11.687334994026473,0.14115138881674485
ME,Northeast,2021-02-18,11.35798175345407,0.13174129622896186
ME,Northeast,2021-02-19,10.972167957354966,0.14115138881674485
ME,Northeast,2021-02-20,10.426382587263554,0.14115138881674485
ME,Northeast,2021-02-21,10.144079809630064,0.10351101846561289
ME,Northeast,2021-02-22,10.021748605988885,0.08469083329004691
ME,Northeast,2021-02-23,9.965288050462187,0.10351101846561289
ME,Northeast,2021-02-24,10.652224809370345,0.24466240728235775
ME,Northeast,2021-02-25,11.715565271789822,0.44227435162580053
ME,Northeast,2021-02-26,11.339161568278502,0.43286425903801756
ME,Northeast,2021-02-27,11.93199740130883,0.43286425903801756
ME,Northeast,2021-02-28,11.922587308721049,0.42345416645023454
ME,Northeast,2021-03-01,11.903767123545482,0.42345416645023454
ME,Northeast,2021-03-02,12.703624993507036,0.42345416645023454
ME,Northeast,2021-03-03,12.750675456445952,0.42345416645023454
ME,Northeast,2021-03-04,12.487192863988028,0.2634825924579237
ME,Northeast,2021-03-05,12.562473604690291,0.03764037035113196
ME,Northeast,2021-03-06,12.609524067629208,0.03764037035113196
ME,Northeast,2021-03-07,12.251940549293453,0.04705046293891495
ME,Northeast,2021-03-08,12.157839623415624,0.03764037035113196
ME,Northeast,2021-03-09,12.204890086354538,0.19761194434344279
ME,Northeast,2021-03-10,12.327221289995718,0.19761194434344279
ME,Northeast,2021-03-11,12.703624993507036,0.17879175916787682
ME,Northeast,2021-03-12,13.390561752415195,0.17879175916787682
ME,Northeast,2021-03-13,13.211769993247318,0.1882018517556598
ME,Northeast,2021-03-14,13.080028697018356,0.1882018517556598
ME,Northeast,2021-03-15,13.221180085835101,0.17879175916787682
ME,Northeast,2021-03-16,13.757555363338732,0.17879175916787682
ME,Northeast,2021-03-17,14.416261844483541,0.01882018517556598
ME,Northeast,2021-03-18,14.849126103521558,0.03764037035113196
ME,Northeast,2021-03-19,15.32904082549849,0.04705046293891495
ME,Northeast,2021-03-20,15.45137202913967,0.04705046293891495
ME,Northeast,2021-03-21,15.131428881155047,0.04705046293891495
ME,Northeast,2021-03-22,15.216119714445094,0.04705046293891495
ME,Northeast,2021-03-23,14.811485733170427,0.05646055552669794
ME,Northeast,2021-03-24,14.905586659048256,0.05646055552669794
ME,Northeast,2021-03-25,15.046738047865,0.05646055552669794
ME,Northeast,2021-03-26,15.159659158918396,0.03764037035113196
ME,Northeast,2021-03-27,14.896176566460474,0.07528074070226393
ME,Northeast,2021-03-28,14.660924251765898,0.07528074070226393
ME,Northeast,2021-03-29,14.736204992468162,0.06587064811448093
ME,Northeast,2021-03-30,15.159659158918396,0.08469083329004691
ME,Northeast,2021-03-31,16.288870269452357,0.11292111105339588
ME,Northeast,2021-04-01,17.08872813941391,0.12233120364117887
ME,Northeast,2021-04-02,18.810775082978196,0.12233120364117887
ME,Northeast,2021-04-03,19.055437490260555,0.13174129622896186
ME,Northeast,2021-04-04,19.855295360222108,0.08469083329004691
ME,Northeast,2021-04-05,20.099957767504467,0.0941009258778299
ME,Northeast,2021-04-06,21.135067952160597,0.0941009258778299
ME,Northeast,2021-04-07,22.810064432785968,0.08469083329004691
ME,Northeast,2021-04-08,23.449950728755212,0.04705046293891495
ME,Northeast,2021-04-09,24.89910498727379,0.05646055552669794
ME,Northeast,2021-04-10,24.052196654373322,0.05646055552669794
ME,Northeast,2021-04-11,23.449950728755212,0.04705046293891495
ME,Northeast,2021-04-12,23.459360821342994,0.05646055552669794
ME,Northeast,2021-04-13,26.734073041891474,0.06587064811448093
ME,Northeast,2021-04-14,29.152466836951703,0.10351101846561289
ME,Northeast,2021-04-15,30.827463317577074,0.10351101846561289
ME,Northeast,2021-04-16,33.20821674228617,0.14115138881674485
ME,Northeast,2021-04-17,32.98237452017938,0.13174129622896186
ME,Northeast,2021-04-18,33.311727760751786,0.14115138881674485
ME,Northeast,2021-04-19,33.73518192720202,0.15997157399231082
ME,Northeast,2021-04-20,34.902033408087114,0.15056148140452785
ME,Northeast,2021-04-21,34.23391683435452,0.14115138881674485
ME,Northeast,2021-04-22,32.87886350171377,0.11292111105339588
ME,Northeast,2021-04-23,30.921564243454906,0.12233120364117887
ME,Northeast,2021-04-24,29.04895581848609,0.08469083329004691
ME,Northeast,2021-04-25,26.696432671540343,0.07528074070226393
ME,Northeast,2021-04-26,25.595451838769733,0.06587064811448093
ME,Northeast,2021-04-27,27.148117115753926,0.0941009258778299
ME,Northeast,2021-04-28,25.65191239429643,0.10351101846561289
ME,Northeast,2021-04-29,23.337029617701816,0.13174129622896186
ME,Northeast,2021-04-30,22.066667118351113,0.14115138881674485
ME,Northeast,2021-05-01,22.367790081160166,0.16938166658009382
ME,Northeast,2021-05-02,21.031556933694983,0.15997157399231082
ME,Northeast,2021-05-03,21.793774433305405,0.16938166658009382
ME,Northeast,2021-05-04,23.562871839808608,0.16938166658009382
ME,Northeast,2021-05-05,22.838294710549317,0.13174129622896186
ME,Northeast,2021-05-06,23.374669988052947,0.14115138881674485
ME,Northeast,2021-05-07,23.694613136037567,0.11292111105339588
ME,Northeast,2021-05-08,23.873404895205447,0.10351101846561289
ME,Northeast,2021-05-09,22.37720017374795,0.05646055552669794
ME,Northeast,2021-05-10,22.21722859975564,0.05646055552669794
ME,Northeast,2021-05-11,22.15135795164116,0.06587064811448093
ME,Northeast,2021-05-12,21.069197304046114,0.07528074070226393
ME,Northeast,2021-05-13,20.570462396893618,0.06587064811448093
ME,Northeast,2021-05-14,20.448131193252436,0.05646055552669794
ME,Northeast,2021-05-15,19.38479073083296,0.06587064811448093
ME,Northeast,2021-05-16,18.490831934993576,0.06587064811448093
ME,Northeast,2021-05-17,18.06737776854334,0.07528074070226393
ME,Northeast,2021-05-18,17.926226379726597,0.0941009258778299
ME,Northeast,2021-05-19,17.58746304656641,0.0941009258778299
ME,Northeast,2021-05-20,16.80642536178042,0.16938166658009382
ME,Northeast,2021-05-21,15.630163788307547,0.1882018517556598
ME,Northeast,2021-05-22,14.25629027049123,0.1882018517556598
ME,Northeast,2021-05-23,13.701094807812034,0.17879175916787682
ME,Northeast,2021-05-24,12.760085549033734,0.1882018517556598
ME,Northeast,2021-05-25,11.461492771919682,0.19761194434344279
ME,Northeast,2021-05-26,11.11331934617171,0.1882018517556598
ME,Northeast,2021-05-27,10.360511939149072,0.16938166658009382
ME,Northeast,2021-05-28,9.50419351366082,0.08469083329004691
ME,Northeast,2021-05-29,8.911357680630491,0.06587064811448093
ME,Northeast,2021-05-30,8.233831014310116,0.05646055552669794
ME,Northeast,2021-05-31,7.537484162814175,0.04705046293891495
ME,Northeast,2021-06-01,7.038749255661677,0.02823027776334897
ME,Northeast,2021-06-02,7.038749255661677,0.02823027776334897
ME,Northeast,2021-06-03,6.511784070745829,0.11292111105339588
ME,Northeast,2021-06-04,6.031869348768897,0.12233120364117887
ME,Northeast,2021-06-05,5.740156478547624,0.13174129622896186
ME,Northeast,2021-06-06,5.4672637935019175,0.13174129622896186
ME,Northeast,2021-06-07,4.930888515998287,0.13174129622896186
ME,Northeast,2021-06-08,5.184961015868428,0.14115138881674485
ME,Northeast,2021-06-09,5.316702312097389,0.16938166658009382
ME,Northeast,2021-06-10,5.354342682448522,0.15056148140452785
ME,Northeast,2021-06-11,4.714456386479278,0.06587064811448093
ME,Northeast,2021-06-12,4.545074719899184,0.06587064811448093
ME,Northeast,2021-06-13,4.102800368273384,0.05646055552669794
ME,Northeast,2021-06-14,3.4911443500674895,0.05646055552669794
ME,Northeast,2021-06-15,3.4817342574797063,0.08469083329004691
ME,Northeast,2021-06-16,3.3123525908996125,0.12233120364117887
ME,Northeast,2021-06-17,3.1335608317317356,0.10351101846561289
ME,Northeast,2021-06-18,2.860668146686029,0.10351101846561289
ME,Northeast,2021-06-19,2.888898424449378,0.0941009258778299
ME,Northeast,2021-06-20,2.6912864801059353,0.08469083329004691
ME,Northeast,2021-06-21,2.3901635172968794,0.08469083329004691
ME,Northeast,2021-06-22,2.4560341654113604,0.08469083329004691
ME,Northeast,2021-06-23,2.3054726840068325,0.07528074070226393
ME,Northeast,2021-06-24,1.938479073083296,0.02823027776334897
ME,Northeast,2021-06-25,1.9478891656710788,0.03764037035113196
ME,Northeast,2021-06-26,1.976119443434428,0.03764037035113196
ME,Northeast,2021-06-27,1.7126368509765042,0.03764037035113196
ME,Northeast,2021-06-28,1.5338450918086275,0.03764037035113196
ME,Northeast,2021-06-29,1.6655863880375892,0.03764037035113196
ME,Northeast,2021-06-30,1.5903056473353254,0.03764037035113196
ME,Northeast,2021-07-01,1.6655863880375892,0.02823027776334897
ME,Northeast,2021-07-02,1.6938166658009381,0.03764037035113196
ME,Northeast,2021-07-03,1.6467662028620234,0.01882018517556598
ME,Northeast,2021-07-04,1.4585643511063635,0.01882018517556598
ME,Northeast,2021-07-05,1.3362331474651845,0.01882018517556598
ME,Northeast,2021-07-06,1.2139019438240057,0.01882018517556598
ME,Northeast,2021-07-07,1.2703624993507037,0.02823027776334897
ME,Northeast,2021-07-08,1.4962047214574954,0.02823027776334897
ME,Northeast,2021-07-09,1.3832836104040995,0.02823027776334897
ME,Northeast,2021-07-10,1.4115138881674485,0.01882018517556598
ME,Northeast,2021-07-11,1.1292111105339588,0.01882018517556598
ME,Northeast,2021-07-12,0.950419351366082,0.01882018517556598
ME,Northeast,2021-07-13,1.5620753695719765,0.01882018517556598
ME,Northeast,2021-07-14,1.938479073083296,0.06587064811448093
ME,Northeast,2021-07-15,2.0419900915489086,0.15056148140452785
ME,Northeast,2021-07-16,2.1266809248389555,0.15997157399231082
ME,Northeast,2021-07-17,2.5689552764647563,0.1882018517556598
ME,Northeast,2021-07-18,2.3995736098846625,0.1882018517556598
ME,Northeast,2021-07-19,2.3995736098846625,0.1882018517556598
ME,Northeast,2021-07-20,3.8393177758154597,0.1882018517556598
ME,Northeast,2021-07-21,3.669936109235366,0.23525231469457475
ME,Northeast,2021-07-22,4.291002220029044,0.22584222210679175
ME,Northeast,2021-07-23,4.338052682967959,0.13174129622896186
ME,Northeast,2021-07-24,4.573304997662533,0.17879175916787682
ME,Northeast,2021-07-25,4.046339812746686,0.14115138881674485
ME,Northeast,2021-07-26,4.046339812746686,0.14115138881674485
ME,Northeast,2021-07-27,5.66487573784536,0.15056148140452785
